City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,101.3,24,42,6.33,scattered clouds
80,Barrow,US,71.2906,-156.7887,33.82,86,90,5.75,mist
81,Lensk,RU,60.7253,114.9278,33.31,96,100,11.1,light snow
82,Ambovombe,MG,-25.1667,46.0833,65.25,65,53,13.94,broken clouds
83,San Rafael,AR,-34.6177,-68.3301,67.14,20,0,11.01,clear sky
84,Hami,CN,42.8,93.45,48.51,39,96,17.43,overcast clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,20,8.05,few clouds
86,Manokwari,ID,-0.8667,134.0833,79.72,75,98,8.12,overcast clouds
87,Alofi,NU,-19.0595,-169.9187,69.69,100,42,2.3,scattered clouds
88,Thompson,CA,55.7435,-97.8558,62.76,67,75,11.5,smoke
89,Cidreira,BR,-30.1811,-50.2056,63.37,54,39,11.61,scattered clouds
90,Naze,JP,28.3667,129.4833,76.62,72,78,14.72,broken clouds
91,Karratha,AU,-20.7377,116.8463,74.03,71,0,6.93,light rain
92,Ahipara,NZ,-35.1667,173.1667,56.64,93,42,9.62,scattered clouds
93,Chipiona,ES,36.7366,-6.437,86.18,61,0,11.5,clear sky
94,Namibe,AO,-15.1961,12.1522,65.66,76,49,12.66,scattered clouds
95,Balloch,GB,56.0,-4.5833,65.17,88,90,13.8,light rain
96,Bengkulu,ID,-3.8004,102.2655,75.67,90,98,3.31,light rain
97,Evensk,RU,61.95,159.2333,22.69,57,18,7.25,few clouds
98,Linxia,CN,35.6003,103.2064,55.9,67,14,2.37,few clouds
99,Bluff,NZ,-46.6,168.3333,46.8,90,85,2.37,overcast clouds
100,Campohermoso,ES,36.9357,-2.1337,73.72,69,0,6.51,clear sky
101,Dingle,PH,10.9995,122.6711,76.87,87,100,2.8,overcast clouds
102,Klaksvik,FO,62.2266,-6.589,52.72,92,96,24.76,overcast clouds
103,Tasiilaq,GL,65.6145,-37.6368,35.76,51,5,6.69,clear sky
104,Bahir Dar,ET,11.5936,37.3908,62.24,88,94,4.14,moderate rain
105,Chuy,UY,-33.6971,-53.4616,57.79,49,6,9.17,clear sky
106,Saint-Philippe,RE,-21.3585,55.7679,69.39,77,99,11.01,overcast clouds
107,Zunyi,CN,27.6867,106.9072,65.3,82,86,2.86,overcast clouds
108,Iznik,TR,40.4286,29.7211,62.35,81,63,6.53,broken clouds
109,Cap Malheureux,MU,-19.9842,57.6142,72.46,77,3,4.0,light rain
110,Khatanga,RU,71.9667,102.5,13.75,95,100,4.34,overcast clouds
111,Dymer,UA,50.7865,30.3026,47.95,42,42,13.24,scattered clouds
112,Norman Wells,CA,65.282,-126.8329,24.84,93,90,4.61,fog
113,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,75,18.41,broken clouds
114,Cooma,AU,-36.2333,149.1333,44.47,85,99,2.95,overcast clouds
115,Castro,BR,-24.7911,-50.0119,70.48,83,100,1.99,overcast clouds
116,Batsfjord,NO,70.6345,29.7185,37.4,75,75,13.8,broken clouds
117,Carnarvon,AU,-24.8667,113.6333,62.67,72,0,14.97,clear sky
118,Bathsheba,BB,13.2167,-59.5167,86.61,79,75,21.85,broken clouds
119,Saldanha,ZA,-33.0117,17.9442,60.85,94,4,13.47,clear sky
120,Mitu,CO,1.1983,-70.1733,81.55,86,78,3.62,broken clouds
121,Morondava,MG,-20.2833,44.2833,76.93,68,0,20.96,clear sky
122,Balakhta,RU,55.38,91.6,34.05,98,100,12.66,light rain
123,Saskylakh,RU,71.9167,114.0833,13.66,93,98,8.43,overcast clouds
124,Port Elizabeth,ZA,-33.918,25.5701,69.1,88,0,14.97,clear sky
